City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,San Cristobal,VE,66.11,overcast clouds,7.77,-72.22,Pirineos
2,Vaini,TO,69.8,few clouds,-21.2,-175.2,Keleti Beach Resort
5,Dongsheng,CN,75.31,clear sky,39.82,109.98,Crowne Plaza Ordos
11,Angoche,MZ,72.63,scattered clouds,-16.23,39.91,Guest House HESADA
23,Esperance,AU,66.2,broken clouds,-33.87,121.9,Hospitality Esperance
25,Ponta Do Sol,PT,71.6,few clouds,32.67,-17.1,Hotel do Campo
26,Baft,IR,71.28,clear sky,29.23,56.61,بافت خیابان طالقانی غربی ساختمان مادر
29,Arraial Do Cabo,BR,70.38,clear sky,-22.97,-42.03,Pousada Porto Praia
31,Hilo,US,75.2,light rain,19.73,-155.09,Hilo Hawaiian Hotel
34,Hamilton,US,75.2,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
35,Nemuro,JP,71.6,light intensity drizzle,43.32,145.57,Hotel Nemuro Kaiyoutei
36,Rabo De Peixe,PT,69.8,few clouds,37.8,-25.58,Quinta das Giestas
37,Nantucket,US,71.6,few clouds,41.28,-70.1,Jared Coffin House
38,Bethel,US,69.01,mist,41.37,-73.41,Courtyard by Marriott Danbury
39,Lillooet,CA,77.0,clear sky,50.69,-121.94,Hotel Victoria
43,Beyneu,KZ,76.35,clear sky,45.32,55.2,NUR
44,Rikitea,PF,71.8,broken clouds,-23.12,-134.97,Pension Maro'i
45,Atuona,PF,78.08,few clouds,-9.8,-139.03,Villa Enata
46,Bubaque,GW,79.41,overcast clouds,11.28,-15.83,Casa Dora
48,Geraldton,AU,69.8,broken clouds,-28.77,114.6,Broadwater Mariner Resort
52,Danielskuil,ZA,67.6,clear sky,-28.19,23.54,Botha'Sig Gastehuis
61,Avarua,CK,77.0,overcast clouds,-21.21,-159.78,Paradise Inn
62,Russell,US,75.2,clear sky,32.35,-85.2,Macs
66,Port Pirie,AU,73.4,scattered clouds,-33.18,138.02,John Pirie Motor Inn
68,Caravelas,BR,68.16,clear sky,-17.71,-39.25,Pousada dos Navegantes
76,Carnarvon,AU,71.6,clear sky,-24.87,113.63,Hospitality Carnarvon
78,Mahebourg,MU,69.8,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
81,Poum,NC,71.26,clear sky,-20.23,164.02,Gîte kajeon
85,Bathsheba,BB,78.8,few clouds,13.22,-59.52,Atlantis Hotel
88,San Patricio,MX,79.29,overcast clouds,19.22,-104.7,Hotel Cabo Blanco
90,Goksun,TR,78.8,clear sky,38.02,36.5,Tuğçe Otel
94,Abha,SA,73.4,clear sky,18.22,42.51,Abha Hotel
95,Puerto Ayora,EC,66.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
98,Uozu,JP,78.8,thunderstorm with light rain,36.8,137.4,Hotel Minamikan
103,Ulaangom,MN,70.09,overcast clouds,49.98,92.07,Achit Nuur Hotel & Restaurant
108,Yurimaguas,PE,72.28,overcast clouds,-5.9,-76.08,Rio Huallaga Hotel & Business Center
112,Cayenne,GF,75.2,few clouds,4.93,-52.33,Hôtel Le Dronmi
116,Placido De Castro,BR,76.33,few clouds,-10.34,-67.19,Hotel Califórnia
117,Asfi,MA,69.78,clear sky,32.3,-9.24,Hôtel Abda
120,Luanda,AO,69.8,broken clouds,-8.84,13.23,EPIC SANA Luanda
122,Altamont,US,70.0,clear sky,42.21,-121.74,Microtel Inn & Suites by Wyndham Klamath Falls
126,Busselton,AU,66.0,overcast clouds,-33.65,115.33,Observatory Guest House
127,San Ignacio,BZ,75.99,overcast clouds,17.16,-89.07,Rainforest Haven Inn
132,Ocos,GT,66.0,overcast clouds,14.51,-92.19,La Bajadita
136,Touros,BR,69.8,broken clouds,-5.2,-35.46,INN NEW HORIZON
138,Winnemucca,US,73.4,clear sky,40.97,-117.74,Winners Inn Casino
141,Samarai,PG,78.4,overcast clouds,-10.62,150.67,Nuli Sapi
144,Pascagoula,US,77.0,clear sky,30.37,-88.56,Regency Inn
146,Tacoronte,ES,69.01,fog,28.48,-16.41,Haciendas del Valle - Casa San Miguel
149,Kuytun,RU,73.81,clear sky,54.34,101.5,Gostinitsa Tsentral'naya
157,Nizhniy Kuranakh,RU,69.84,overcast clouds,58.84,125.49,Park Pobedy
158,Port Alfred,ZA,65.17,clear sky,-33.59,26.89,The Halyards Hotel
163,Saint-Philippe,RE,70.0,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
165,Saint Thomas,BB,78.8,few clouds,13.18,-59.58,Jefferson's House
167,Vila Franca Do Campo,PT,69.8,few clouds,37.72,-25.43,Pestana Bahia Praia
175,Tarauaca,BR,71.96,broken clouds,-8.16,-70.77,Flat Temporada
176,Mareeba,AU,79.0,few clouds,-17.0,145.43,Trinity Plains Tourist Park
177,Grand Gaube,MU,75.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
183,Belyy Yar,RU,71.6,overcast clouds,53.6,91.39,Pasportnyy Stol
186,Sainte-Suzanne,RE,78.8,scattered clouds,-20.91,55.61,Gites Ango
189,Banfora,BF,71.24,overcast clouds,10.63,-4.77,Residences David Hebié
194,Alofi,NU,73.4,light rain,-19.06,-169.92,Taloa Heights
198,Soyo,AO,73.4,broken clouds,-6.13,12.37,Hotel Mpampa
201,Loandjili,CG,73.62,overcast clouds,-4.76,11.86,Résidence ARCHANGE
203,Zaysan,KZ,78.24,broken clouds,47.47,84.87,Gostinitsa Aray
206,Almeirim,BR,74.25,few clouds,-1.52,-52.58,Ricácio Hotel
210,Ribeira Grande,PT,73.63,overcast clouds,38.52,-28.7,Quinta da Meia Eira
211,Harper,LR,75.45,light rain,4.38,-7.72,Screensaver
213,Lixourion,GR,75.2,clear sky,38.2,20.43,Summery Hotel
214,Faya,SA,73.4,clear sky,18.39,42.45,مقبرة ال مجمل
215,Atkinson,US,66.0,clear sky,42.84,-71.15,Atkinson Resort & Country Club
219,Mahon,ES,69.8,few clouds,39.89,4.27,ARTIEM Capri
227,Airai,TL,78.17,few clouds,-8.93,125.41,Juvinal Martin
229,Pangai,TO,71.6,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
231,San Javier,ES,71.01,scattered clouds,37.81,-0.84,Hotel Mar Menor
237,Papara,BR,78.8,broken clouds,-3.98,-38.73,Bela vista Maranguape
241,Emmett,US,75.0,clear sky,43.87,-116.5,Holiday Motel & R.V Park
244,Colares,PT,72.0,clear sky,38.8,-9.45,Arribas Sintra Hotel
251,Jalu,LY,79.59,clear sky,29.03,21.55,Jalu Hotel
252,Libreville,GA,75.2,light rain,0.39,9.45,Hotel Re-Ndama
255,Miranda,CO,65.5,broken clouds,3.25,-76.23,Parqueadero toño lasso
264,Porto Walter,BR,73.92,scattered clouds,-8.27,-72.74,Hotel Silva
269,Susa,TN,77.0,broken clouds,35.83,10.64,Hotel Riadh Palms
270,Sawtell,AU,78.01,clear sky,-30.38,153.1,Boambee Waters Caravan Park
272,Liwale,TZ,74.21,few clouds,-9.77,37.93,Samoma Lodge
273,Marrakesh,MA,71.6,clear sky,31.63,-8.01,Les Jardins de La Koutoubia
281,El Porvenir,HN,66.2,overcast clouds,13.76,-87.35,Campo de Futbol Las Delicias
293,Xuddur,SO,75.61,overcast clouds,4.12,43.89,Banjanay Hotel
295,Ukiah,US,70.0,clear sky,39.15,-123.21,Hampton Inn Ukiah
304,Pailon,BO,67.42,few clouds,-17.65,-62.75,Alojamiento pailon
305,Riohacha,CO,77.61,overcast clouds,11.54,-72.91,Hotel Taroa
306,Kibuye,RW,71.58,clear sky,-2.06,29.35,Inn on the lake
307,Mattru,SL,73.02,overcast clouds,7.62,-11.83,Boima Gbondo's Compound
308,Palmer,US,70.0,broken clouds,42.16,-72.33,Wedgewood Motel
313,Blackwater,AU,74.97,scattered clouds,-23.58,148.88,Blackwater Motor Inn
315,Flinders,AU,66.0,overcast clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
317,Laguna,US,70.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
318,Sao Filipe,CV,79.9,overcast clouds,14.9,-24.5,Tortuga B&B
322,Sao Joao Da Barra,BR,70.48,few clouds,-21.64,-41.05,Pousada Porto De Canoas
323,Inhambane,MZ,66.2,scattered clouds,-23.86,35.38,Oceano
324,Tayoltita,MX,70.63,overcast clouds,24.08,-105.93,Hotel Rivera Tayoltita
325,Guerrero Negro,MX,73.44,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
326,Lata,PT,70.0,clear sky,40.16,-8.33,Casa Maquia
328,Namie,JP,77.0,clear sky,37.48,141.0,いこいの村なみえ(福島県)
332,Matehuala,MX,69.08,few clouds,23.65,-100.65,Las Palmas Midway Inn
333,Yenagoa,NG,74.71,overcast clouds,4.92,6.26,Amba Hotels Limited
345,Cap Malheureux,MU,75.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
350,El Grullo,MX,72.55,broken clouds,19.8,-104.22,Hotel Del Camino Real
354,Toowoomba,AU,75.2,scattered clouds,-27.55,151.97,Toowoomba Central Plaza Apartment Hotel
355,Mana,GF,77.32,clear sky,5.66,-53.78,LE SAMANA
357,Vila Velha,BR,66.2,clear sky,-20.33,-40.29,Hotel Vitória Palace
358,Camacha,PT,71.6,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
363,Port Shepstone,ZA,66.54,clear sky,-30.74,30.45,My Den Beachfront B&B And Self-Catering
364,Carballo,ES,66.2,fog,43.21,-8.69,Pazo do Souto
366,Faanui,PF,77.76,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
369,Verkh-Usugli,RU,67.19,overcast clouds,52.7,115.17,"Gostinitsa ""Sever"""
372,Souillac,MU,69.8,broken clouds,-20.52,57.52,Bils' Villa
376,Buchanan,LR,77.0,light intensity drizzle,5.88,-10.05,Kamaneahn Hotel Inc
377,Agustin Codazzi,CO,73.67,overcast clouds,10.03,-73.24,MOTEL LA GRANJA
380,Laurel,US,75.99,light rain,39.1,-76.85,Days Inn & Suites by Wyndham Laurel Near Fort Meade
381,Chegem,RU,69.01,clear sky,43.28,43.13,Bulungu
382,Juruti,BR,77.86,broken clouds,-2.15,-56.09,Hotel Acauã - ORLA
383,Pemba,MZ,71.6,few clouds,-12.97,40.52,Guesthouse Samotina
390,Mporokoso,ZM,66.88,clear sky,-9.37,30.12,Fairview Home Lodge
391,Vrangel,RU,71.28,clear sky,42.73,133.08,"Отель ""БАЛИ"""
392,Dalby,AU,75.2,scattered clouds,-27.18,151.27,Kobbers Motor Inn Dalby
394,Daru,PG,78.21,overcast clouds,-9.08,143.21,New century hotel
396,Kangavar,IR,66.2,few clouds,34.5,47.97,محمد جوادرضایی
397,Manjacaze,MZ,68.61,clear sky,-24.71,33.88,Hotel Gani
400,Ambovombe,MG,67.08,overcast clouds,-25.17,46.08,MONJA Talilisoa
401,Maragogi,BR,72.61,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
402,Hukuntsi,BW,69.96,broken clouds,-24.0,21.75,Entabeni Hotel
408,Tahoua,NE,77.0,few clouds,14.89,5.27,Bungalows Guesthouse
413,Fort Myers Beach,US,78.01,clear sky,26.45,-81.95,Lani Kai Island Resort
415,Teguise,ES,69.8,few clouds,29.06,-13.56,B&B La Casona de Nazaret
416,Shetpe,KZ,76.71,overcast clouds,44.17,52.12,Rtsm Shetpe Analog
418,Puerto Ayacucho,VE,74.73,overcast clouds,5.66,-67.62,Posada Turistica Manapiare
419,Lamani,HN,66.2,overcast clouds,14.2,-87.62,Texas Hotel
425,Kiama,AU,69.01,overcast clouds,-34.68,150.87,The Sebel Kiama Harbourside
426,Romita,MX,68.0,clear sky,20.87,-101.52,HOTEL RESTER
429,Sterling,US,75.0,light rain,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
430,Alta Floresta,BR,72.48,few clouds,-9.88,-56.09,Floresta Amazonica Hotel
432,Bambous Virieux,MU,75.0,broken clouds,-20.34,57.76,Casa Tia Villa
434,West Wendover,US,75.2,clear sky,40.74,-114.07,"Motel 6 Wendover, UT"
435,Richards Bay,ZA,67.35,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
437,San Quintin,MX,70.77,clear sky,30.48,-115.95,Old Mill Hotel
441,Dulce Nombre De Culmi,HN,70.81,overcast clouds,15.1,-85.53,Hotel maria jose
443,Puerto Carreno,CO,76.19,overcast clouds,6.19,-67.49,Casa Hotel Victoria
444,Pitimbu,BR,71.6,broken clouds,-7.47,-34.81,Reserva do Abiaí
449,Monrovia,LR,77.0,light intensity drizzle,6.3,-10.8,Eco-Hotel Hall & Restaurant
452,Antalaha,MG,74.62,clear sky,-14.9,50.28,Hotel Vitasoa
456,Olinda,BR,77.0,broken clouds,-8.01,-34.86,Hotel 5 Sóis
460,Trinidad,BO,72.55,clear sky,-14.83,-64.9,Hotel Piesta
466,Khuchni,RU,75.99,overcast clouds,41.95,47.95,Kottedzh U Rek
468,Cabedelo,BR,71.6,broken clouds,-6.98,-34.83,Lua Mansa Pousada
470,Kyotera,UG,75.92,broken clouds,-0.62,31.52,NEW PARADISE GUEST HOUSE
472,Coruripe,BR,71.74,scattered clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
473,Ponta Delgada,PT,69.8,few clouds,37.73,-25.67,Vila Nova Hotel
475,Pemangkat,ID,79.47,overcast clouds,1.17,108.97,Kost H.Syamsuddin
477,Mogadishu,SO,78.8,broken clouds,2.04,45.34,Hotel Juba
480,Mancio Lima,BR,73.78,scattered clouds,-7.61,-72.9,Hotel e Distribuidora Voyage
481,Gambela,ET,76.28,broken clouds,8.25,34.58,Solomon Debebe Hotel
482,Yaounde,CM,69.8,thunderstorm with light rain,3.87,11.52,Hotel Mérina
483,Natal,BR,71.6,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
485,Waddan,LY,79.95,clear sky,29.16,16.14,محل الشريف محمد العايب
487,Manta,EC,71.6,overcast clouds,-0.95,-80.73,Balandra Hotel
489,Mayo,US,75.99,overcast clouds,38.89,-76.51,Resorts Resource Group International
499,Hays,US,75.0,overcast clouds,30.05,-98.03,Sinya on Lone Man Creek
503,Novoukrainskiy,RU,78.01,broken clouds,44.9,38.05,Yuzhnaya Noch'
504,Xining,CN,73.54,clear sky,36.62,101.77,Super Leisure Hotel
506,Kandi,BJ,70.88,scattered clouds,11.13,2.94,Maison des producteurs kandi
508,Quatre Cocos,MU,75.0,broken clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
509,Lethem,GY,74.82,scattered clouds,3.38,-59.8,Savannah Inn
512,Malakal,SS,73.89,overcast clouds,9.53,31.66,Nile Palace Hotel
513,Fomboni,KM,75.58,light rain,-12.28,43.74,Auberge les abou
517,Hovd,MN,70.34,overcast clouds,48.01,91.64,Hotel Khovd
519,Jinchang,CN,78.53,clear sky,38.5,102.17,Mingshihui Jinchang International Hotel
522,Praia Da Vitoria,PT,73.99,broken clouds,38.73,-27.07,Hotel Branco I
524,Odweyne,SO,79.21,clear sky,9.41,45.06,Eng Hiirey House
529,Sinnamary,GF,78.04,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
531,Westport,US,71.6,overcast clouds,41.14,-73.36,The Westport Inn
532,Washougal,US,75.99,clear sky,45.58,-122.35,Camas Hotel & Suites Portland - Vancouver
534,Port-Gentil,GA,75.2,scattered clouds,-0.72,8.78,Fengshui Residence
536,Puerto Del Rosario,ES,69.8,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
537,Matamoros,MX,73.99,broken clouds,25.53,-103.25,Recreativo Sabdy Briseidy
541,Borba,BR,77.4,few clouds,-4.39,-59.59,Hotel da Amazônia
545,South Venice,US,79.0,broken clouds,27.05,-82.42,Rodeway Inn
547,Mpanda,TZ,73.99,clear sky,-6.37,31.04,CH Hotel - Mpanda
548,Dhidhdhoo,MV,79.79,overcast clouds,6.88,73.1,Dhidhoo beach
550,Conakry,GN,76.84,moderate rain,9.54,-13.68,Riviera Royal Hotel
559,Nchelenge,ZM,72.63,clear sky,-9.35,28.73,Mweru Water Transport
561,Santa Marta,CO,75.99,overcast clouds,11.24,-74.2,Hotel La Ballena Azul
567,Saint-Denis,FR,66.99,clear sky,48.92,2.33,Appart'City Paris Clichy Mairie - Appart Hôtel
568,Aracati,BR,73.04,scattered clouds,-4.56,-37.77,Motel Pousada Milleniun - Aracati-CE
572,Areosa,PT,68.0,clear sky,41.72,-8.86,Hotel Flôr de Sal
576,Sao Gabriel Da Cachoeira,BR,72.97,scattered clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
578,Parambu,BR,66.51,broken clouds,-6.21,-40.69,Hotel pousada santo onofre
581,Srinagar,IN,77.77,clear sky,34.08,74.82,Hotel Duke
586,Da Lat,VN,74.39,broken clouds,11.95,108.44,YK Home Villa Dalat
590,Makokou,GA,70.27,overcast clouds,0.57,12.86,WAMY RESIDENCE HOTEL
591,Erenhot,CN,72.88,few clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
592,Kutahya,TR,66.2,clear sky,39.42,29.98,Grand Çınar Hotel
594,Piedade,BR,71.01,clear sky,-23.71,-47.43,Fênix Hotel
596,Cururupu,BR,74.44,clear sky,-1.83,-44.87,Pousada Través'cia
597,Gilbues,BR,70.05,overcast clouds,-9.83,-45.34,Hotel Camapuã
598,Woodward,US,71.01,clear sky,36.43,-99.39,Holiday Inn Express & Suites Woodward Hwy 270
599,Olga,RU,74.66,clear sky,43.74,135.29,Gostinitsa Rosmorport.
602,Sungaipenuh,ID,73.96,broken clouds,-2.08,101.38,Hotel Jaya Wisata 2
604,Cananea,MX,72.0,few clouds,30.95,-110.3,Casas Montoya
606,Nauta,PE,73.63,broken clouds,-4.51,-73.58,Amazon Exploring Expedition - Eretzen Tá Lodge
607,Uruacu,BR,66.49,clear sky,-14.52,-49.14,Super Pesca iscas vivas
611,Diamantino,BR,72.25,clear sky,-14.41,-56.45,Hotel Delta
626,Bagdarin,RU,66.43,overcast clouds,54.43,113.6,Gostevoy Dom Terem
628,Lagoa,PT,73.78,overcast clouds,39.05,-27.98,Casa Das Faias
630,Carauari,BR,74.5,broken clouds,-4.88,-66.9,Pousada Lobo
633,Benguela,AO,69.64,broken clouds,-12.58,13.41,Hotel Praia Morena
637,Vaitape,PF,78.58,light rain,-16.52,-151.75,Conrad Bora Bora Nui
640,Tautira,PF,78.8,few clouds,-17.73,-149.15,Pension Oaoa
643,Makhinjauri,GE,77.0,clear sky,41.67,41.69,Batumi World Palace Hotel
656,Zorritos,PE,67.93,broken clouds,-3.68,-80.68,COSTA AZUL ZORRITOS MANGO
657,Sal Rei,CV,78.8,scattered clouds,16.18,-22.92,Marine Club Beach Resort
658,Yorosso,ML,71.19,overcast clouds,12.35,-4.78,Maison d'arrêt et de correction de Yoro
659,Senanga,ZM,69.75,clear sky,-16.12,23.27,Christopher Nasilele House
660,Belmonte,BR,66.2,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
668,Moranbah,AU,76.87,broken clouds,-22.0,148.05,Direct Hotels - Monterey Moranbah
669,Menongue,AO,65.32,clear sky,-14.66,17.69,Ritz Lauca
676,Los Llanos De Aridane,ES,71.6,few clouds,28.66,-17.92,Valle Aridane
677,Honiara,SB,75.2,light rain,-9.43,159.95,Heritage Park Hotel
678,Itarema,BR,76.96,clear sky,-2.92,-39.92,Windvillage
682,Segou,ML,75.42,overcast clouds,13.43,-6.22,Comme chez soi
685,Saint-Joseph,RE,71.01,broken clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
687,Asaba,NG,74.28,light rain,6.2,6.73,Crimson Suite Hotels
